title,rent_eur,size_sqm,eur_per_sqm,location,rooms,source,url,scraped_date
Schöne 1-Zimmer Wohnung - Schwabing,190,30,6.3,"München Schwabing-West | Freiligrathstraße 74, 808...",1,wg-gesucht.de,,2026-03-18
Münchner Studentenunterkunft mit eigenem Bad und Küche zur Kurzzeitmiete verfügb,200,20,10.0,München Laim | St.-Veit-Str 6,1,wg-gesucht.de,,2026-03-18
"March 18th 2026 - March 23rd 2026 (5 nights) Apartment near Wettersteinplatz, be",200,40,5.0,München Au-Haidhausen | Gozbertstrasse 8,1,wg-gesucht.de,,2026-03-18
1-Zimmer Wohnung / ONE WEEK,250,27,9.3,München Schwabing | nähere Infos bei Interesse,1,wg-gesucht.de,,2026-03-18
Zwischenmiete Studentenstadt (10.03. – 30.03.) - Perfect Bridge for April 1st!,254,12,21.2,München Schwabing-Freimann | Willi-Graf-Straße,1,wg-gesucht.de,,2026-03-18
Cozy studio for a short stay (1 or 2 weeks),300,35,8.6,München Ludwigsvorstadt-Isarvorstadt | Holzstraße,1,wg-gesucht.de,,2026-03-18
"Zwischenmiete 1,5-Zimmer Altbauwohnung",320,30,10.7,München Schwanthalerhöhe | Tulbeckstr. 3,1,wg-gesucht.de,,2026-03-18
München Studentenwohneim Untermiete,430,19,22.6,München Neuhausen-Nymphenburg | Helene-Mayer-Ring Haus B,1,wg-gesucht.de,,2026-03-18
Untermiete/Zwischenmiete 1-Zimmerwohnung mit Küche und Toilete,430,19,22.6,München Neuhausen-Nymphenburg | Helene-Mayer-Ring 7 Haus B,1,wg-gesucht.de,,2026-03-18
CENTER -ONE ROOM SHARED BETWEEN TWO PERSON-Kolumbusplatz-NO: FEMALE,450,45,10.0,München Kolumbusplatz | Kolumbusplatz,1,wg-gesucht.de,,2026-03-18
WG- Zimmer,450,8,56.2,München Moosach | Bingener Straße 13,1,wg-gesucht.de,,2026-03-18
Einzimmerapartment zur Untermiete,451,19,23.7,München Obergiesing-Fasangarten | Traunsteiner Straße 3,1,wg-gesucht.de,,2026-03-18
Möbliertes Studio in Sendling (5 Min Harras) – Nachmieter gesucht,480,21,22.9,München Sendling | Karwendelstraße,1,wg-gesucht.de,,2026-03-18
Zwischenmiete März,490,28,17.5,München Milbertshofen-Am Hart | Nietzschestraße,1,wg-gesucht.de,,2026-03-18
Möbliertes 1-Zimmer Apartment – 2 Monate+ – 500€ warm,500,15,33.3,München Sendling | Karwendelstr.,1,wg-gesucht.de,,2026-03-18
A studio apartment,500,18,27.8,München Moosach | Helene Mayer Ring,1,wg-gesucht.de,,2026-03-18
Olympiadorf Studentenwohnheim,550,19,28.9,München Milbertshofen-Am Hart | Helene-Mayer-Ring 7,1,wg-gesucht.de,,2026-03-18
"29.03.26 - 12.04.26: Möblierte 1,5-Zimmer-Wohnung",550,50,11.0,München Ramersdorf-Perlach | Quiddestraße,1,wg-gesucht.de,,2026-03-18
"Room in student housing, private bathroom and kitchen",550,18,30.6,München Schwabing-Freimann | Josef-Wirth-Weg 19,1,wg-gesucht.de,,2026-03-18
Möblierte 1-Zimmer-Wohnung in Milbertshofen,573,30,19.1,"Milbertshofen, München",1,ImmobilienScout24,,2026-03-18
Köln für München Tausch - 1Zi Wohnung in Sendling,585,25,23.4,München Sendling | Karwendelstraße 27,1,wg-gesucht.de,,2026-03-18
Altbauwohnung in Sendling zur Zwischenmiete,590,42,14.0,München Sendling | Kidlerstraße,1,wg-gesucht.de,,2026-03-18
1 Zimmer Wohnung nähe Rotkreutzplatz,600,25,24.0,München Neuhausen-Nymphenburg | Sedlmayrstraße,1,wg-gesucht.de,,2026-03-18
Untervermietung 1-Zimmer- Wohnung März-April. Subrenting one-room appartment in ,600,35,17.1,München Thalkirchen-Obersendling-... | Geigenbergerstraße,1,wg-gesucht.de,,2026-03-18
Gemütliche Garconniere im Hüttenstyle,600,35,17.1,München Sendling | Straße,1,wg-gesucht.de,,2026-03-18
"Tauschwohnung 1,5-Zimmer-Wohnung Untere Au",600,27,22.2,"Untere Au, München",1,ImmobilienScout24,,2026-03-18
Short-term Studio in Olympiapark,610,20,30.5,München Milbertshofen-Am Hart | Helene-Mayer-Ring,1,wg-gesucht.de,,2026-03-18
Möbliertes Zimmer zur Untermiete in Reihenhaus an Studentin/Auszubildende/Wochen,640,24,26.7,München Gartenstadt Johanneskirchen | Nähe Syltweg,1,wg-gesucht.de,,2026-03-18
Möbliertes Einzelzimmer nähe Königsplatz / TU München ruhige Lage,650,20,32.5,München Maxvorstadt | Richard Wagner Str. 13,1,wg-gesucht.de,,2026-03-18
"Zimmer am Englischen Garten, sehr gute Wohnlage",650,15,43.3,München Schwabing | Osterwald 000,1,wg-gesucht.de,,2026-03-18
Schickes Zimmer in München-Pasing,660,19,34.7,München Pasing-Obermenzing | Offenbachstr.,1,wg-gesucht.de,,2026-03-18
STUDENTEN Appartements in Neuhausen München,670,16,41.9,München Neuhausen-Nymphenburg | Merianstraße 8,1,wg-gesucht.de,,2026-03-18
"1,5 Zimmer mit eigenem Eingang in der Blumenau/Hadern",680,26,26.2,München Hadern | Eisenhutstraße 10 12,1,wg-gesucht.de,,2026-03-18
Nachmieter Gesucht,680,30,22.7,München Laim | Landsberger Straße,1,wg-gesucht.de,,2026-03-18
"1 Zimmer Wohnung in München Trudering, Altbau, befristet bis 01.07.2027",685,43,15.9,München Trudering-Riem | Kirchtruderingerstr 11d,1,wg-gesucht.de,,2026-03-18
private WG Room,690,15,46.0,München Maxvorstadt | Nymphenburger Straße 54,1,wg-gesucht.de,,2026-03-18
28 sqm Studio Vermietung *24.03 - 13.04* (3 Wochen),699,28,25.0,München Milbertshofen-Am Hart | moosacher str -,1,wg-gesucht.de,,2026-03-18
"Wilhelm-Busch-Straße, Munich",700,58,12.1,München | Wilhelm-Busch-Straße,1,wg-gesucht.de,,2026-03-18
VollMöblierte 1 Zimmer befristet,700,25,28.0,München Ludwigsvorstadt-Isarvorstadt | Klenzestraße 30,1,wg-gesucht.de,,2026-03-18
1 Zimmer Ferienwohnung in Unity,715,20,35.8,München Pasing-Obermenzing | Landsberger Straße 441,1,wg-gesucht.de,,2026-03-18
Möbliertes 1-Zimmer-Apartment (21 m2) – Zwischenmiete (31.03.–25.04.),728,21,34.7,München Laim | Landsberger Straße 272,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Wohnung mit Balkon und Garage Rotkreuzplatz,730,37,19.7,"Neuhausen, München",1,ImmobilienScout24,,2026-03-18
1 Zimmer wohnung - Milbertshofen befristet 01.03 - 01.05.2026,735,25,29.4,München Milbertshofen | Ricarda-Huch-Straße 1,1,wg-gesucht.de,,2026-03-18
1 Zimmer Apartment nahe TUM,745,15,49.7,München Maxvorstadt | Augustenstraße 82,1,wg-gesucht.de,,2026-03-18
1-Zimmerwohnung ab Mitte April in Solln,750,26,28.8,München Thalkirchen-Obersendling-... | Drygalski - Allee 118,1,wg-gesucht.de,,2026-03-18
Attraktive 1-Zimmer-Wohnung – Mai & Juni,750,30,25.0,München Thalkirchen-Obersendling-... | baierbrunnerstraße,1,wg-gesucht.de,,2026-03-18
UNTERMIETE - 1-Zimmer-Wohnung in Germering - nur April 2026,750,38,19.7,München Unterpfaffenhofen | Hartstraße,1,wg-gesucht.de,,2026-03-18
Möbliertes Studentenapartment in München-Laim zur Zwischenmiete 16.05.2026 – 31.,750,20,37.5,München Laim | Landsberger Straße,1,wg-gesucht.de,,2026-03-18
1-Zimmer Appartment im Dachgeschoss mit eigenem Bad zur Untermiete,760,20,38.0,München Neuhausen-Nymphenburg | Elvirastraße,1,wg-gesucht.de,,2026-03-18
"Helle, gemütliche 1Zi. Wohnung bei weltoffener WG",760,22,34.5,München Süd-Ost | Münchner Straße 18,1,wg-gesucht.de,,2026-03-18
Apartment zentral und vollmöbliert in München Berg-am-Laim,765,17,45.0,München Berg am Laim | Dornbergstraße,1,wg-gesucht.de,,2026-03-18
Studio apartment for short term,780,25,31.2,München Schwabing-West | Schleißheimer Straße,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Wohnung in toller Lage nahe Universität bis 01.05 oder 01.06!,790,24,32.9,München Maxvorstadt | Blütenstraße,1,wg-gesucht.de,,2026-03-18
"Möblierte Wohnung im Dachgeschoss, keine Küche, kurzfristige Miete nur",790,26,30.4,München Sendling | Lindwurmstr 112,1,wg-gesucht.de,,2026-03-18
Appartement im Münchner Westen,795,34,23.4,München Hadern | Willibaldstr 201,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Appartement in Studierendenwohnheim,795,27,29.4,München Milbertshofen-Am Hart | Moosacher Straße,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Wohnung zur Zwischenmiete,800,27,29.6,München Schwabing-Freimann | Guerickestraße,1,wg-gesucht.de,,2026-03-18
Gemütliches Zimmer in Reihenhaus,800,18,44.4,München Trudering-Riem | Josef-Brückl-Str,1,wg-gesucht.de,,2026-03-18
Zwischenmiete,800,36,22.2,München Moosach | Pelkovenstraße,1,wg-gesucht.de,,2026-03-18
1-Zimmerwohnung,800,30,26.7,München Muenchen | Erhardtstrasse,1,wg-gesucht.de,,2026-03-18
möbilierte Einzimmerwohnung in Stadtzentrum,800,30,26.7,München Maxvorstadt | dachauer str 89 A,1,wg-gesucht.de,,2026-03-18
Wohnung im 14. Stock mit Blick auf die Berge!,800,34,23.5,München Laim | Hauzenbergerstraße 20,1,wg-gesucht.de,,2026-03-18
Single room available for rent starting from March,800,10,80.0,München Aubing-Lochhausen-Langwied | Radolfzellerstrasse,1,wg-gesucht.de,,2026-03-18
"Ismaninger Straße, Munich",820,61,13.4,München Bogenhausen | Ismaninger Straße,1,wg-gesucht.de,,2026-03-18
"Ismaninger Straße, Munich",820,16,51.2,München Bogenhausen | Ismaninger Straße,1,wg-gesucht.de,,2026-03-18
Die ZIMMEREI | Möbliertes WG-Zimmer in Sendling: U-Bahn nah & TUM/LMU schnell er,840,13,64.6,München Sendling | Resi-Huber-Platz 1,1,wg-gesucht.de,,2026-03-18
Student-Dorm in Neuperlach Zentrum,840,22,38.2,München Ramersdorf-Perlach | Thomas-Dehler-Straße 21,1,wg-gesucht.de,,2026-03-18
"Gemütliche 1-Zimmer-Wohnung, perfekt für Studenten oder Auszubildende",842,21,40.1,München Thalkirchen-Obersendling-... | Baierbrunner Straße 4,1,wg-gesucht.de,,2026-03-18
Ruhiges & zentrales 1-Zi-Apartment / Studio Apartment in Giesing,850,22,38.6,München Giesing | Klagenfurter Str. 1,1,wg-gesucht.de,,2026-03-18
"1,5 Zimmer Wohnung am Böhmerwaldplatz/NUR FÜR STUDENTEN/BEFRISTET",850,30,28.3,München Bogenhausen | Buschingstraße 43,1,wg-gesucht.de,,2026-03-18
1 Zimmer Apartment komplett Möbliert,850,17,50.0,München Pasing-Obermenzing | Landsberger 441,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Apartment mit Küchenzeile,850,28,30.4,München Allach-Untermenzing | Frühaufstraße 31A,1,wg-gesucht.de,,2026-03-18
Furnished apartment in Maxvorstadt,850,28,30.4,München Maxvorstadt | Augustenstraße,1,wg-gesucht.de,,2026-03-18
Einzimmerwohnung Maxvorstadt/Königsplatz zur Untervermietung 14.03 - 16.04. Foto,860,34,25.3,München Maxvorstadt | Luisenstraße,1,wg-gesucht.de,,2026-03-18
Zwischenmiete April/Mai 2026,860,26,33.1,München Schwabing-West | Fürstenbergstraße,1,wg-gesucht.de,,2026-03-18
Apartment Nahe LMU Türkenstraße,870,20,43.5,München Maxvorstadt | Türkenstraße,1,wg-gesucht.de,,2026-03-18
Ab 15.07.2026 Attraktives Appartment im Münchner Norden 30qm 4. OG mit Aufzug nu,870,30,29.0,München Feldmoching-Hasenbergl | Rainfarnstr. 47,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Wohnung für Studierende und Auszubildene,875,21,41.7,München Pasing-Obermenzing | Landsberger Str. 441,1,wg-gesucht.de,,2026-03-18
"Lerchenauer Straße, Munich",880,14,62.9,München Schwabing-West | Lerchenauer Straße,1,wg-gesucht.de,,2026-03-18
1-Zimmer-Wohnung,890,45,19.8,München Ramersdorf | Kaspar-Spät-Str. 20,1,wg-gesucht.de,,2026-03-18
Studio Flat (Furnished) in Schwabing-Freimann Untermiete,890,22,40.5,München Schwabing-Freimann | Floriansmühlstraße,1,wg-gesucht.de,,2026-03-18
looking For Nachmieter One Room Apartmen,890,31,28.7,München Obersendling | Boschetsrieder Straße,1,wg-gesucht.de,,2026-03-18
moderne ein zimmer wohnung im herzen münchen,890,20,44.5,München Sendling | resi huber platz 1,1,wg-gesucht.de,,2026-03-18
1.5 Zimmer Wohnung,895,36,24.9,München Laim | Friedenheimer Straße,1,wg-gesucht.de,,2026-03-18
